,Rank,Name,Platform,Publisher,Developer,Critic_Score,User_Score,Total_Shipped,Year
11,12,Call of Duty: Modern Warfare,Sony Playstation 4,Activision,Infinity Ward,8.0,3.3,30.13,2019
22,23,Grand Theft Auto V,Sony PlayStation 3,Rockstar Games,Rockstar North,9.4,8.3,20.32,2013
23,24,Grand Theft Auto V,Sony Playstation 4,Rockstar Games,Rockstar North,9.7,8.4,19.39,2014
32,33,Grand Theft Auto: San Andreas,Sony PlayStation 2,Rockstar Games,Rockstar North,9.5,9.1,17.3,2004
36,37,Uncharted 4: A Thief's End,Sony Playstation 4,Sony Interactive Entertainment,Naughty Dog,9.2,8.4,16.25,2016
39,40,Grand Theft Auto: Vice City,Sony PlayStation 2,Rockstar Games,Rockstar North,9.6,8.8,16.15,2002
42,43,Call of Duty: Black Ops 3,Sony Playstation 4,Activision,Treyarch,8.1,4.9,15.09,2015
45,46,Gran Turismo 3: A-Spec,Sony PlayStation 2,Sony Computer Entertainment,Polyphony Digital,9.3,8.9,14.89,2001
53,54,Red Dead Redemption 2,Sony Playstation 4,Rockstar Games,Rockstar Games,9.8,7.9,13.94,2018
55,56,Call of Duty: Black Ops II,Sony PlayStation 3,Activision,Treyarch,9.3,,13.8,2012
58,59,Call of Duty: WWII,Sony Playstation 4,Activision,Sledgehammer Games,8.0,4.3,13.4,2017
59,60,Call of Duty: Modern Warfare 3,Sony PlayStation 3,Activision,Infinity Ward,8.8,,13.35,2011
62,63,Marvel's Spider-Man,Sony Playstation 4,Sony Interactive Entertainment,Insomniac Games,9.1,8.7,13.2,2018
63,64,Grand Theft Auto III,Sony PlayStation 2,Rockstar Games,DMA Design,9.5,,13.1,2001
69,70,Call of Duty: Black Ops,Sony PlayStation 3,Activision,Treyarch,8.7,,12.67,2010
78,79,Gran Turismo 5,Sony PlayStation 3,Sony Computer Entertainment,Polyphony Digital,8.3,,11.95,2010
80,81,FIFA 18,Sony Playstation 4,EA Sports,EA Vancouver,8.3,3.4,11.8,2017
81,82,The Last of Us Remastered,Sony Playstation 4,Sony Computer Entertainment,Naughty Dog,9.5,9.1,11.78,2014
82,83,Gran Turismo 4,Sony PlayStation 2,Sony Computer Entertainment,Polyphony Digital,8.7,,11.76,2005
87,88,God of War (2018),Sony Playstation 4,Sony Interactive Entertainment,SIE Santa Monica Studio,9.7,10.0,11.0,2018
89,90,FIFA 17,Sony Playstation 4,Electronic Arts,EA Canada,8.9,4.8,10.94,2016
90,91,Gran Turismo,Sony PlayStation,Sony Computer Entertainment,Polyphony Digital,9.5,,10.85,1998
91,92,The Witcher 3: Wild Hunt,Sony Playstation 4,Warner Bros. Interactive Entertainment,CD Projekt Red Studio,9.2,9.2,10.8,2015
92,93,Call of Duty: Modern Warfare 2,Sony PlayStation 3,Activision,Infinity Ward,9.5,,10.61,2009
93,94,Grand Theft Auto IV,Sony PlayStation 3,Rockstar Games,Rockstar North,10.0,9.0,10.57,2008
97,98,Call of Duty: Ghosts,Sony PlayStation 3,Activision,Infinity Ward,7.5,,10.13,2013
100,101,Horizon: Zero Dawn,Sony Playstation 4,Sony Interactive Entertainment,Guerrilla Games,9.1,8.0,10.0,2017
105,106,Final Fantasy VII,Sony PlayStation,Sony Computer Entertainment,SquareSoft,9.6,9.5,9.9,1997
109,110,Gran Turismo 2,Sony PlayStation,Sony Computer Entertainment,Polyphony Digital,9.2,,9.37,1999
111,112,Call of Duty: Black Ops IIII,Sony Playstation 4,Activision,Treyarch,8.3,4.0,9.32,2018
