,Rank,Name,Platform,Publisher,Developer,Critic_Score,User_Score,Total_Shipped,Year
15,16,Kinect Adventures!,Microsoft Xbox 360,Microsoft Game Studios,Good Science Studio,6.7,,24.0,2010
50,51,Halo 3,Microsoft Xbox 360,Microsoft Game Studios,Bungie Studios,9.6,9.5,14.5,2007
65,66,Minecraft,Microsoft Xbox 360,Microsoft Studios,Mojang,8.5,,13.0,2013
102,103,Halo: Reach,Microsoft Xbox 360,Microsoft Game Studios,Bungie,9.3,,9.97,2010
104,105,Halo 4,Microsoft Xbox 360,Microsoft Studios,343 Industries,9.8,,9.96,2012
136,137,Halo 2,Microsoft Xbox,Microsoft Game Studios,Bungie Studios,9.6,,8.0,2004
182,183,Halo 3: ODST,Microsoft Xbox 360,Microsoft Game Studios,Bungie,8.7,,6.35,2009
204,205,Age of Empires II: HD Edition,PC,Microsoft Studios,Hidden Path Entertainment,6.8,7.9,5.82,2013
220,221,Forza Motorsport 3,Microsoft Xbox 360,Microsoft Game Studios,Turn 10 Studios,9.2,9.8,5.5,2009
228,229,Minecraft,Microsoft Xbox One,Microsoft Studios,Mojang,,,5.43,2014
254,255,Microsoft Flight Simulator,PC,Microsoft,Microsoft,7.0,,5.12,1996
258,259,Fable III,Microsoft Xbox 360,Microsoft Game Studios,Lionhead Studios,7.8,,5.1,2010
268,269,Gears of War,Microsoft Xbox 360,Microsoft Game Studios,Epic Games,9.4,9.4,5.0,2006
269,270,Gears of War 2,Microsoft Xbox 360,Microsoft Game Studios,Epic Games,9.4,9.5,5.0,2008
270,271,Halo 5: Guardians,Microsoft Xbox One,Microsoft Studios,343 Industries,8.6,6.4,5.0,2015
271,272,Halo: Combat Evolved,Microsoft Xbox,Microsoft,Bungie Studios,9.5,,5.0,2001
302,303,Forza Motorsport 4,Microsoft Xbox 360,Microsoft Studios,Turn 10 Studio,9.1,,4.6,2011
382,382,Forza Motorsport 2,Microsoft Xbox 360,Microsoft Game Studios,Turn 10 Studios,9.1,,4.05,2007
443,442,Gears of War: Ultimate Edition,Microsoft Xbox One,Microsoft Studios,The Coalition,8.2,7.6,3.62,2015
470,469,Fable II,Microsoft Xbox 360,Microsoft Game Studios,Lionhead Studios,9.0,9.3,3.5,2008
484,483,Halo: The Master Chief Collection,Microsoft Xbox One,Microsoft Studios,343 Industries,8.5,7.4,3.44,2014
498,497,Gears of War 4,Microsoft Xbox One,Microsoft Studios,The Coalition,8.4,6.9,3.38,2016
584,583,Fable,Microsoft Xbox,Microsoft Game Studios,Big Blue Box,8.6,,3.0,2004
585,584,Gears of War 3,Microsoft Xbox 360,Microsoft Studios,Epic Games,9.1,,3.0,2011
587,586,Kinect Sports,Microsoft Xbox 360,Microsoft Game Studios,Rare Ltd.,7.4,,3.0,2010
617,616,Mass Effect,Microsoft Xbox 360,Microsoft Game Studios,BioWare Edmonton,9.2,9.1,2.91,2007
695,694,Dead Rising 3,Microsoft Xbox One,Microsoft Studios,Capcom,8.3,6.9,2.7,2013
703,702,Halo Wars,Microsoft Xbox 360,Microsoft Game Studios,Ensemble Studios,8.1,8.5,2.67,2009
768,767,Forza Horizon 3,Microsoft Xbox One,Microsoft Studios,Playground Games,9.0,8.0,2.5,2016
803,802,Kinect: Disneyland Adventures,Microsoft Xbox 360,Microsoft Studios,Frontier Developments,8.5,,2.41,2011
808,807,Halo: Combat Evolved Anniversary,Microsoft Xbox 360,Microsoft Studios,343 Industries,8.0,,2.41,2011
811,810,Forza Motorsport 5,Microsoft Xbox One,Microsoft Studios,Turn 10 Studios,8.8,6.0,2.4,2013
851,850,Kinect Sports: Season Two,Microsoft Xbox 360,Microsoft Studios,Rare Ltd.,6.6,,2.33,2011
944,943,PlayerUnknown's Battlegrounds,Microsoft Xbox One,Microsoft Studios,PUBG Corporation,8.5,5.0,2.17,2017
969,968,Project Gotham Racing,Microsoft Xbox,Microsoft,Bizarre Creations,8.4,,2.12,2001
975,974,Project Gotham Racing (JP weekly sales),Microsoft Xbox,Microsoft,Bizarre Creations,,,2.1,2002
1023,1022,PGR4 - Project Gotham Racing 4,Microsoft Xbox 360,Microsoft Game Studios,Bizarre Creations,8.6,,2.04,2007
1024,1023,Dance Central 2,Microsoft Xbox 360,Microsoft,Harmonix Music Systems,8.6,,2.04,2011
1062,1061,Trials HD,XBL,Microsoft,"RedLynx, Ltd.",8.6,,2.0,2009
1095,1094,Forza Horizon,Microsoft Xbox 360,Microsoft Studios,Playground Games,9.0,,1.94,2012
1163,1162,Forza Horizon 4,Microsoft Xbox One,Microsoft Studios,Playground Games,9.2,7.9,1.84,2018
1227,1226,Kinect Star Wars,Microsoft Xbox 360,Microsoft Studios,Terminal Reality,,,1.76,2012
1240,1239,Crackdown,Microsoft Xbox 360,Microsoft Game Studios,Realtime Worlds,8.4,7.0,1.75,2007
1329,1328,PGR: Project Gotham Racing 2,Microsoft Xbox,Microsoft Game Studios,Bizarre Creations,8.9,,1.67,2003
1369,1368,Kinectimals,Microsoft Xbox 360,Microsoft Game Studios,Frontier Studio,7.5,,1.62,2010
1384,1383,Gears of War: Judgment,Microsoft Xbox 360,Microsoft Studios,People Can Fly / Epic Games,9.2,,1.6,2013
1436,1435,Mark of the Ninja,PC,Microsoft Studios,Klei Entertainment,9.3,8.0,1.56,2012
1481,1480,Forza Motorsport 7,Microsoft Xbox One,Microsoft Studios,Turn 10 Studios,8.9,5.9,1.52,2017
1510,1509,Counter-Strike,Microsoft Xbox,Microsoft Game Studios,Valve Software,7.9,,1.5,2003
1538,1537,State of Decay,PC,Microsoft Studios,Undead Labs,7.9,6.9,1.49,2013
1567,1566,Ryse: Son of Rome,Microsoft Xbox One,Microsoft Studios,Crytek,6.8,6.2,1.47,2013
1570,1569,Forza Horizon 2,Microsoft Xbox One,Microsoft Studios,Playground Games,8.6,8.3,1.46,2014
1611,1610,Kinect Joy Ride,Microsoft Xbox 360,Microsoft Game Studios,Big Park,5.6,,1.43,2010
1699,1698,Age of Mythology,PC,Microsoft Game Studios,Ensemble Studios,8.8,,1.37,2002
1755,1754,Alan Wake,Microsoft Xbox 360,Microsoft Game Studios,Remedy Entertainment,8.3,,1.33,2010
1946,1945,Fuzion Frenzy,Microsoft Xbox,Microsoft,Blitz Games,8.3,,1.21,2001
2040,2039,Sunset Overdrive,Microsoft Xbox One,Microsoft Studios,Insomniac Games,8.0,7.8,1.16,2014
